Steps = 39, Explorations = 24, Exploitations = 14, Epsilon rate = 0.5941750672444633, Episode = 144
Steps = 14, Explorations = 7, Exploitations = 6, Epsilon rate = 0.5934031029437064, Episode = 145
Steps = 20, Explorations = 11, Exploitations = 8, Epsilon rate = 0.5922766511926417, Episode = 146
Steps = 14, Explorations = 6, Exploitations = 7, Epsilon rate = 0.5915071533525305, Episode = 147
Steps = 14, Explorations = 6, Exploitations = 7, Epsilon rate = 0.5907386552596233, Episode = 148
Steps = 24, Explorations = 15, Exploitations = 8, Epsilon rate = 0.5893814498756492, Episode = 149
Steps = 14, Explorations = 6, Exploitations = 7, Epsilon rate = 0.5886157135398211, Episode = 150
Steps = 21, Explorations = 9, Exploitations = 11, Epsilon rate = 0.5874395998118608, Episode = 151
Steps = 12, Explorations = 6, Exploitations = 5, Epsilon rate = 0.5867937392469394, Episode = 152
Steps = 20, Explorations = 11, Exploitations = 8, Epsilon rate = 0.5856798339912888, Episode = 153
Steps = 10, Explorations = 3, Exploitations = 6, Epsilon rate = 0.5851529329362471, Episode = 154
Steps = 36, Explorations = 23, Exploitations = 12, Epsilon rate = 0.5831083755041576, Episode = 155
Steps = 20, Explorations = 11, Exploitations = 8, Epsilon rate = 0.582001466141216, Episode = 156
Steps = 17, Explorations = 5, Exploitations = 11, Epsilon rate = 0.5810709618713346, Episode = 157
Steps = 12, Explorations = 4, Exploitations = 7, Epsilon rate = 0.5804321033064476, Episode = 158
Steps = 14, Explorations = 6, Exploitations = 7, Epsilon rate = 0.5796779941432278, Episode = 159
Steps = 19, Explorations = 11, Exploitations = 7, Epsilon rate = 0.5786354601882614, Episode = 160
Steps = 16, Explorations = 7, Exploitations = 8, Epsilon rate = 0.577768114302012, Episode = 161
Steps = 26, Explorations = 15, Exploitations = 10, Epsilon rate = 0.576325425992464, Episode = 162
Steps = 12, Explorations = 4, Exploitations = 7, Epsilon rate = 0.5756917849077818, Episode = 163
Steps = 19, Explorations = 9, Exploitations = 9, Epsilon rate = 0.5746564200337905, Episode = 164
Steps = 22, Explorations = 16, Exploitations = 5, Epsilon rate = 0.5734508475662526, Episode = 165
Steps = 24, Explorations = 18, Exploitations = 5, Epsilon rate = 0.572133360432421, Episode = 166
Steps = 25, Explorations = 14, Exploitations = 10, Epsilon rate = 0.5707618182980677, Episode = 167
Steps = 12, Explorations = 3, Exploitations = 8, Epsilon rate = 0.5701342941227832, Episode = 168
